,r_s,r_v,t,t_cs
v21-1,-,1,39,119
t21-1,2,1,398,177
v21-2,-,1,122,73
t21-2,19,19,213,262
v21-3,13,13,179,190
t21-7,10,1,116,-
v21-4,-,14,114,213
t21-3,-,1,395,38
t21-4,1,1,85,-
v21-5,-,3,88,95
t21-5,282,19,166,-
v21-6,-,9,27,90
v21-7,1,1,210,44
v21-8,-,1,237,164
v21-9,2,1,132,115
v21-10,-,55,224,252
v21-11,10,1,79,44
v21-12,-,1,131,146
v21-13,-,6,34,-
v21-14,-,2,167,53
v21-15,-,2,75,84
v21-16,3,3,48,53
v21-17,84,1,288,122
v21-18,-,1,166,58
v21-19,-,1,45,82
v21-20,158,1,292,-
v21-21,858,1,211,113
