,r_s,r_v,t,t_cs
v21-1,102,9,66,102
t21-1,40,16,137,322
v21-2,-,39,26,140
t21-2,4,4,175,195
v21-3,18,16,65,90
t21-7,-,70,128,-
v21-4,-,72,49,77
t21-3,-,2,22,65
t21-4,490,4,28,153
v21-5,-,6,183,89
t21-5,8,8,223,-
v21-6,-,2,166,229
v21-7,23,19,266,166
v21-8,4,4,20,62
v21-9,3,1,28,30
v21-10,107,107,147,-
v21-11,139,1,15,68
v21-12,-,1,20,47
v21-13,3,3,173,177
v21-14,-,2,68,-
v21-15,1251,1,291,126
v21-16,1,1,20,21
v21-17,1,1,71,78
v21-18,-,13,18,34
v21-19,-,1,88,138
v21-20,63,4,264,-
v21-21,-,2,38,53
