,r_s,r_v,t,t_cs
v21-1,-,26,78,104
t21-1,43,1,141,227
v21-2,-,26,51,58
t21-2,-,35,291,-
v21-3,81,81,17,-
t21-7,8,8,362,-
v21-4,-,9,27,40
t21-3,-,13,31,91
t21-4,1,1,144,255
v21-5,-,39,48,55
t21-5,-,-,-,-
v21-6,-,39,105,141
v21-7,1,1,14,19
v21-8,161,10,32,99
v21-9,80,12,203,247
v21-10,181,101,275,-
v21-11,880,63,290,-
v21-12,439,1,20,49
v21-13,-,1,60,70
v21-14,-,13,251,268
v21-15,87,5,38,41
v21-16,105,51,36,96
v21-17,175,2,22,30
v21-18,-,1,24,40
v21-19,534,3,146,261
v21-20,-,67,72,95
v21-21,1,1,65,67
