,0
0,8571742e-31db-4c69-89c0-e89fa8537842
1,859fe6f1-36b7-4ffb-917f-bb9ed507398b
2,8842863a-580f-4040-bd84-fa0a750737a4
3,0446c855-8b34-41c8-af2d-2f11820fb87a
4,332621e0-5e19-49a6-aa36-3c6b7ade4893
5,eeb8b6f2-0cb5-478a-a189-d1ba19a5176b
6,af081558-e4e0-4023-89d0-c23ff5c14a57
7,7b82a8b1-c69d-465b-930f-829d5ec8f7f2
8,6ac2dfde-4116-4439-82fd-d71b19e1a8a6
9,7a3ce15b-6303-4f1a-a7c4-04b1662dd273
10,83dabb35-b2eb-408d-93c1-16d3816112dd
11,27f42227-94f9-48d5-b845-e333d60ae2e8
12,9a64e7c9-bff4-422b-84ac-8e6a8a3171b9
13,67cfe49e-dc6f-49b8-bb3f-197bca99f05b
14,edf56461-130c-426b-8c93-b172ca4642bd
15,73c40d18-b241-47b5-9068-d4b360a18021
16,3fb1b47c-927f-42c6-8db5-55cc8a91496b
17,1eb4fa02-a53d-4732-bf2e-dabda62898db
18,5e40c9d9-bcbf-4292-9695-5203e77c57ff
19,6a4820b1-acce-4745-b943-63ffb1562e61
20,41f65404-121d-4092-8864-4e984dae346d
21,1f8d1a24-cdbb-4133-bcb2-4b3426986777
22,7c8b26a0-7cef-46f3-b65b-34b455a4cc23
23,baa44208-c60c-413b-b8d6-8943d597b337
24,179ec8aa-14cd-45ae-9269-e2f30277b570
25,4d082e0d-d5fe-4407-beed-13e9a0d2c982
26,9dea4e21-7d3e-4136-998f-2dab167cb528
27,de53c1eb-8f51-425b-89a1-bbd026a76833
28,e2d1bafe-9381-4830-b3ef-c9b338c9b043
29,e9280678-f4f9-4fe7-8694-a8b1bc8d8e6a
30,00ce1c6c-53df-4cd0-9f79-4a83c2484336
31,8d768d41-c6fc-4803-92f0-3dd6a022a749
32,348fd770-952c-4092-ac85-17523e004dff
33,b46a3fa6-695a-4018-aa2c-3c9448791d12
34,4b3a6f7f-aa0f-4586-9590-409de36e18b5
35,4a9a8138-6f35-446d-afab-0a1f8d0fd519
36,64ac0128-98e8-4242-a147-5b4f8329bff5
37,2931a259-4b56-45f4-895e-a0ec2e038a69
38,909173ab-d4b8-49ba-9645-b6f6e8745fe4
39,fbc3e7e8-5029-478c-810d-41f7f70113e7
40,7ba30f4c-afce-42a9-8aa7-ac3820d48d28
41,5739901f-ef0c-4339-a5e3-32b2e57ea7d8
42,790a1367-0ecf-4b42-92f5-54a9e47d0ddb
43,8fca749e-20bb-4e4e-8a19-55c975d24fee
44,4441acbe-afb7-43c0-9797-56318c9317ef
45,1b6da876-23fb-4cf3-9901-100e11c1cef7
46,2ce68c25-de47-4e7c-8b26-4e8410a58384
47,a01464ff-c67a-4f8b-ab90-a96e0daff8ee
48,710f28ba-4171-4edb-a324-3dfb8d46e957
49,041f890c-7f5d-4369-a6fd-41ca34d3d04b
50,c1c734bb-9989-41de-9357-f9cd42a97687
51,54c3adbd-7b67-4438-9124-0516bf238bba
52,cedede2c-f05a-4954-8f14-945fc84ae287
53,d74b1192-485b-4dc8-a241-ac4117167e8a
54,624df593-a95f-4792-b882-1664960fdc95
55,61958366-5d03-400c-a0ea-3216e56d0644
56,18e6f5e3-b388-4757-a0d8-52dc69b65b1e
57,2b1ca578-20fa-497c-9ae4-c8741c544cce
58,ff990a62-f499-4dd2-b5cc-599397411a26
59,0dd44c9f-4e2e-495c-85dd-92e8b38e847e
60,15a2cafd-f3ca-49e0-a896-b851eaa96863
61,b222fb2e-c4b8-4d62-863b-330a4f62e627
62,c3d734d6-d1d8-4fc0-b4bf-18cd1ce3abb7
63,7fced052-f2e8-45f7-9ba7-4668f3a149f9
64,6544f2c4-7f9c-4400-9190-6e5862d48d23
65,caaa24e6-b55b-4c78-a51f-f739e7af6c89
66,260bdb07-71bc-4485-ba05-c32f268071d0
67,415fc703-856f-4349-b911-5badb0a2c732
68,10519a3c-5a52-49b0-963b-8ade6e8449c8
69,15f4ec02-c138-475b-9f3a-d9cbabbd8469
70,eabfe98a-06e8-4815-99c7-3bd5cf991f70
71,a289cd3a-da41-4c09-a482-b38b3f55dc57
72,c47efd60-d814-4e13-8c83-e6d2d1b1b672
73,7221dfa7-38e2-4cb6-9eaf-d67f9c1b8f26
74,6f0b6ea0-5d03-48a4-b702-550defa44ad2
75,e45e4c9e-7004-454a-91cf-154a1e97df2c
76,c0305853-bd7c-4899-bcfa-d1fdc1946f3e
77,3a33c259-88be-432c-895e-6617d65c70c7
78,58e1efbe-b2cc-4bf8-87b4-d0c6e53505ef
79,13d4e275-3417-4ea6-90a0-d987dd3cbf3b
80,ef41c399-07a7-4ecd-929b-5901dab42761
81,3bf4ca4e-1cbb-4630-979d-18db1c6b1f21
82,3ad08cea-dd85-4c62-b15e-ff965192d92d
83,a0cfd41f-735c-4ed1-aee1-9b090f21eae5
84,fdac44aa-befb-4b4c-9a92-4e623a2812a1
85,fc5a67e2-3c2d-4a5b-bbce-0fda806e68b9
86,c7b673b0-2ebe-448b-8d1a-6544895ba7d4
87,ab7ec52e-0f51-433c-a3d4-15b8e5087cc0
88,4f294b66-f60f-494e-81a8-d8a07ac4847f
89,b7b66006-0328-4f12-b981-4c5146d0d290
90,1220075a-7d57-438a-8ec1-2019ad2fc7b0
91,87bae8a3-ce90-48d1-b46d-28736988551e
92,a60e6391-9d9d-49fb-8054-2dcd4aa520a5
93,19c48b61-ccfe-4759-8f22-5b30b875d00f
94,f140ee72-d5bc-4022-94b4-48260f6d33c9
95,330c24a2-984b-4b7b-8ce6-5c50e4359612
96,17c9aef7-3bcc-444a-aa5e-4021aa2b4562
97,c2466b3b-236c-4638-b6af-02a07673c058
98,18a2d5ac-75eb-4aad-9f6d-381ac0a900ff
99,feedd11e-3985-4b44-bf07-e6bfb47d3bc0
100,936fde70-1133-407d-b075-b66964f91f16
101,8aa97c12-585b-43ab-b8e1-9c031b6ddd07
102,9bda6385-84a7-4fa5-90b9-75c31e8503b6
103,05eb61f0-9503-4a24-8a0e-9370bd8ee39b
104,a2344d66-665e-486b-90eb-4c2ea9cd3a5b
105,64398ce6-3bac-4c6a-bc46-ffce99c06f76
106,930e6e5d-584d-4c8d-a26f-2cb93a0e5cc5
107,9cd52432-e12c-42a7-9536-374937a2668c
108,0046629e-fb42-41c7-923d-32c4966b12c3
109,9c766ef8-f000-4442-a58f-0a252c2c3f8d
110,278abcce-bf5a-4585-8de8-4ced9cd2999b
111,d6f10e5b-c31e-4e52-bc04-37f88a89c0f0
112,54f8e7c6-39a3-420d-bc97-e2d623b63f7d
113,3e8c91cb-711a-4e5e-97e3-2cddfdf81fd2
114,b93eaec9-9b9b-4fcc-9ff3-d2b1f035cffa
115,f151c607-68a4-4971-b741-f6cae43531fa
116,0d3c6a80-a10c-47f3-bb53-3b435ce00fec
117,a8cadc00-9ea2-4ea1-9c37-36e7d3e7140c
118,048998a6-0eff-467d-87ad-ae085bc93bdd
119,361350f0-4e82-4fe5-b013-1db589e31fc9
120,e32e2a01-5902-4d10-8c4d-b402ec275ada
121,5c0c8549-1d23-4fe1-bd2a-9effa89ddd3f
122,24c2e555-23d1-42f7-b794-c2f77ed0fbd7
123,3b3824cc-41c1-499a-8797-75317a2dc842
124,01d17445-69f0-42b3-9921-4f2d32503dae
125,2ad54dd7-3807-4fc3-bcf3-2e6bafccb742
126,cb89c955-2b52-40bc-93c9-f7b75bfc59af
127,d58bb7db-be9f-44f5-8e5f-f2511c8f40ac
128,e90517b3-75f3-4629-80a6-4cce767bc313
129,a1c2002a-2f66-4c90-bc75-fef7159cec3f
130,7bddffd8-a312-4961-b95f-accdcbf0a3e7
131,9c592b79-a7ea-4d3d-a5e2-ab04bcad4731
132,34e685d9-8358-4784-8e2c-5d102c9e19a5
133,71b3771f-29fb-4be8-936f-98d2066e7c4f
