,vitrivr,VIRET,Vireo,SomHunter,HTW,SIRET,vitrivr-vr,VERGE,VBS2020 Winner,Exquisitor,VISIONE,diveXplore,VideoGraph,noshot,IVIST,IVOS,EOLAS
T_2, , ,1, , ,1,1, ,-1,1,-1,-1, ,2,-1,1,1
T_5, , ,-1, , , ,-1, , ,-1,-1,-1,-1,2,-1,1,-1
T_7,-1,2,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1
T_10,1,1, ,1, , ,1, ,1,3, ,1, ,1,-1,1,-1
T_12, ,1, , ,-1,1, ,1, , ,-1, ,-1,-1,-1,-1,-1
T_14,-1,-1,-1,1, ,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1
Sigma1,1,4,2,2,0,4,2,1,1,4,0,3,0,6,0,4,2
V_0, , , , ,1, , , , ,-1, ,1,-1,-1,-1,-1,-1
V_3, , , , , , , , ,-1,1,-1,-1,-1, ,-1,-1,-1
V_6, , ,1, ,-1, ,-1,1,-1,-1,3,1, ,1,-1,-1,1
V_9, , , , , , , ,-1,-1, ,1, , ,1, ,-1,-1
V_13, , , , , , , , , , , ,-1,-1, ,-1,-1,-1
V_15, , , , , , ,-1, ,-1, ,-1, ,1,1,-1,-1,-1
V_16,-1, , ,1, , , , , , , ,-1,-1, ,-1,-1,-1
V_18, , , ,2,1, , , , , , , ,-1,-1,-1,-1,-1
V_19, , ,1, , , , , , , , ,1,1, ,2,-1,-1
V_20,-1,-1,-1,-1,1, ,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1
V_21, , ,-1, , , ,2, , , , ,-1,-1,-1,-1,-1,-1
V_22, , , , , , , , , , , , , , ,1, ,-1
V_23,-1, , , ,-1,-1, ,-1,-1, , ,-1,-1,1,-1,-1,-1
V_25, , , ,-1,-1, , , , , , ,1,1,-1, ,-1,-1
V_27, , , , , , ,1,-1,1,1, ,-1,-1,-1, ,-1,-1
V_29, , , , , , ,-1, , ,-1, ,-1,-1,-1,-1,-1,-1
V_30,-1, , , , ,1, ,-1, ,-1,-1, ,-1,-1, ,-1,-1
V_32,1, , , , , , , , ,1, , , , ,-1,-1,4
V_33,1, , , ,1, ,1, , ,1, , , ,-1, ,-1,-1
V_34,-1, , ,-1, ,-1,-1, , ,-1,-1,-1,-1, ,-1,-1,-1
V_36, , , , ,2,2,1,1,1, ,2,1,-1, , ,-1,-1
Sigma2,2,0,2,3,6,3,5,2,3,4,6,6,3,4,3,0,5
A_1,10,8,12,4,12,7,2,1,1,6,7,4,3,1,2,5,2
A_4,8,7,17,4,25,7,2,7,21,12,18,11,2,30,13,1,-1
A_8,35,11,18,7,40,6,5,7,11,6,7,16,11,1, ,-1,-1
A_11,15,4,15,7,12,28,3,3,26,12,14,8, ,1,7,-1, 
A_17,83,48,16,27,25,16,93, ,4,24,6,14,3,2,-1, ,1
A_24,24,11,48,183,91,155,2,2,135,2,1,11,24,33,23,2,13
A_26,12,19,4,5,3,15,12,2,11,3,9,20,1,-1, ,1,-1
A_28,63,43,27,17,2,5,54,2,1,4,3,18,21,9,2,-1,12
A_31,84,31,88,33,6,16,17,15,8,16,11,83,5,5,8,2,1
A_35,40,39,2,17, ,7,49,3,11,6, ,19,14,23, , ,12
Sigma3,374,221,247,304,216,262,239,42,229,91,76,204,84,105,55,11,41
Sigma4,377,225,251,309,222,269,246,45,233,99,82,213,87,115,58,15,48
