,v21-1,t21-1,v21-2,t21-2,v21-3,t21-7,v21-4,t21-3,t21-4,v21-5,t21-5,v21-6,v21-7,v21-8,v21-9,v21-10,v21-11,v21-12,v21-13,v21-14,v21-15,v21-16,v21-17,v21-18,v21-19,v21-20,v21-21
r_s,2447,46,17,2,1,-,-,31,280,-,21,34,3,-,762,-,30,-,-,-,11,9,135,-,2978,-,4
r_v,1,46,17,2,1,12,62,26,72,50,21,34,3,8,6,191,30,48,2,23,11,9,135,20,7,97,1
t,27,205,39,62,124,111,45,125,203,19,324,256,104,134,59,261,199,28,299,40,193,56,24,87,70,184,54
t_cs,67,403,145,72,134,-,75,287,334,102,-,102,-,144,117,-,175,40,-,47,210,78,-,130,187,-,107
r_s,-,599,364,1897,126,9704,5795,27,194,-,2215,-,24,44,4172,-,-,-,-,8526,-,835,16,-,1136,-,5
r_v,4,17,16,102,21,995,3,2,194,5,83,168,24,9,166,2547,50,1,20,14,12,9,16,5,29,1301,5
t,80,55,73,67,56,197,31,106,183,33,97,38,33,28,32,105,162,32,252,84,229,34,68,224,220,31,31
t_cs,84,180,65,-,-,-,45,83,218,41,-,-,37,41,77,-,-,55,268,278,-,-,96,77,154,-,59
r_s,-,1299,-,-,10087,-,-,-,-,-,5447,-,1059,-,-,-,-,-,-,-,-,-,-,-,-,-,-
r_v,-,91,-,6437,12,137,8,27,3898,-,2373,33,1059,44,175,4405,-,-,-,-,-,-,-,-,-,-,-
t,-,239,-,154,117,99,86,284,79,-,97,37,42,68,47,169,-,-,-,-,-,-,-,-,-,-,-
t_cs,-,319,-,-,141,-,131,306,-,-,-,-,-,-,-,-,-,80,-,117,-,-,-,108,170,-,-
r_s,-,7,-,25,-,-,-,-,-,-,-,-,-,14,5,-,-,-,-,-,-,4,-,-,-,-,-
r_v,-,1,131,25,-,-,-,11,4,-,-,-,2,8,5,-,27,2,-,2,-,4,-,33,4,-,-
t,-,236,255,100,-,-,-,91,264,-,-,-,51,75,93,-,224,51,-,74,-,32,-,61,225,-,-
t_cs,194,236,255,100,297,-,-,91,-,63,-,104,51,75,93,-,224,50,-,74,-,32,-,61,225,63,177
r_s,-,-,-,-,328,-,294,-,-,-,-,-,3,-,10,-,-,-,-,-,-,-,-,-,7920,-,8819
r_v,11,-,-,-,26,-,1,31,-,29,-,-,3,9,10,-,9,1,3866,5,22,37,-,3,2,-,5
t,142,-,-,-,114,-,63,298,-,45,-,-,205,53,64,-,236,34,230,107,128,166,-,114,66,-,90
t_cs,142,-,-,-,-,-,69,298,-,45,-,-,205,53,64,-,236,33,230,107,128,166,-,114,65,-,192
r_s,1,15,3,2,59,57,460,-,31,3,517,94,6,4,1,970,1,1,35,-,218,1,9,27,49,1,154
r_v,1,1,3,2,56,1,16,1,7,3,16,4,6,4,1,37,1,1,35,1,3,1,9,9,6,1,1
t,22,75,33,33,67,285,37,21,303,260,399,24,17,32,19,24,41,19,41,134,92,173,11,44,44,28,21
t_cs,100,97,44,56,166,-,134,153,416,28,-,54,25,36,24,-,48,23,61,141,128,30,25,99,94,35,35
r_s,-,2,-,19,13,10,-,-,1,-,282,-,1,-,2,-,10,-,-,-,-,3,84,-,-,158,858
r_v,1,1,1,19,13,1,14,1,1,3,19,9,1,1,1,55,1,1,6,2,2,3,1,1,1,1,1
t,39,398,122,213,179,116,114,395,85,88,166,27,210,237,132,224,79,131,34,167,75,48,288,166,45,292,211
t_cs,119,177,73,262,190,-,213,38,-,95,-,90,44,164,115,252,44,146,-,53,84,53,122,58,82,-,113
r_s,43,42,-,3,152,185,-,-,2,-,190,-,87,6,27,-,-,-,-,-,-,1,17,447,-,-,-
r_v,14,2,52,3,73,6,12,27,2,6,62,74,1,5,27,2,7,1,1,2,1,1,17,1,2,12,11
t,138,36,253,31,281,72,63,62,47,13,263,13,38,89,113,127,14,26,221,93,70,15,130,145,77,15,37
t_cs,200,-,-,196,-,-,-,240,81,24,-,-,75,49,156,-,38,48,-,103,98,22,147,273,99,46,60
r_s,102,40,-,4,18,-,-,-,490,-,8,-,23,4,3,107,139,-,3,-,1251,1,1,-,-,63,-
r_v,9,16,39,4,16,70,72,2,4,6,8,2,19,4,1,107,1,1,3,2,1,1,1,13,1,4,2
t,66,137,26,175,65,128,49,22,28,183,223,166,266,20,28,147,15,20,173,68,291,20,71,18,88,264,38
t_cs,102,322,140,195,90,-,77,65,153,89,-,229,166,62,30,-,68,47,177,-,126,21,78,34,138,-,53
r_s,-,43,-,-,81,8,-,-,1,-,-,-,1,161,80,181,880,86,-,-,87,1,175,-,534,-,1
r_v,26,1,26,35,81,8,9,13,1,39,-,39,1,1,12,101,63,1,1,13,2,1,2,1,3,67,1
t,78,141,51,291,17,362,27,31,144,48,-,105,14,32,203,275,290,125,60,251,38,161,22,24,146,72,65
t_cs,104,227,58,-,-,-,40,91,255,55,-,141,19,99,247,-,-,49,70,268,41,96,30,40,261,95,67
