Team,vitrivr,VIRET,Vireo,SomHunter,HTW,SIRET,vitrivr-vr,VERGE,VBS2020 Winner,Exquisitor,VISIONE,diveXplore,VideoGraph,noshot,IVIST,IVOS,EOLAS
vitrivr,1.0,0.057,0.119,0.055,0.045,0.059,0.136,0.055,0.039,0.039,0.046,0.04,0.057,0.021,0.025,0.003,0.009
VIRET,0.057,1.0,0.064,0.1,0.059,0.103,0.088,0.062,0.108,0.05,0.029,0.04,0.052,0.034,0.019,0.005,0.011
Vireo,0.119,0.064,1.0,0.067,0.062,0.087,0.084,0.082,0.064,0.062,0.054,0.038,0.046,0.017,0.024,0.005,0.008
SomHunter,0.055,0.1,0.067,1.0,0.054,0.113,0.067,0.055,0.149,0.04,0.027,0.027,0.047,0.024,0.034,0.005,0.009
HTW,0.045,0.059,0.062,0.054,1.0,0.084,0.047,0.061,0.07,0.043,0.048,0.033,0.035,0.016,0.027,0.0,0.006
SIRET,0.059,0.103,0.087,0.113,0.084,1.0,0.072,0.069,0.108,0.051,0.038,0.021,0.049,0.016,0.028,0.004,0.003
vitrivr-vr,0.136,0.088,0.084,0.067,0.047,0.072,1.0,0.07,0.051,0.045,0.03,0.024,0.076,0.028,0.025,0.004,0.014
VERGE,0.055,0.062,0.082,0.055,0.061,0.069,0.07,1.0,0.066,0.056,0.041,0.022,0.054,0.018,0.04,0.002,0.006
VBS2020 Winner,0.039,0.108,0.064,0.149,0.07,0.108,0.051,0.066,1.0,0.043,0.028,0.022,0.033,0.028,0.021,0.004,0.013
Exquisitor,0.039,0.05,0.062,0.04,0.043,0.051,0.045,0.056,0.043,1.0,0.03,0.025,0.049,0.013,0.021,0.004,0.007
VISIONE,0.046,0.029,0.054,0.027,0.048,0.038,0.03,0.041,0.028,0.03,1.0,0.025,0.027,0.007,0.022,0.014,0.005
diveXplore,0.04,0.04,0.038,0.027,0.033,0.021,0.024,0.022,0.022,0.025,0.025,1.0,0.023,0.046,0.018,0.003,0.009
VideoGraph,0.057,0.052,0.046,0.047,0.035,0.049,0.076,0.054,0.033,0.049,0.027,0.023,1.0,0.039,0.022,0.0,0.015
noshot,0.021,0.034,0.017,0.024,0.016,0.016,0.028,0.018,0.028,0.013,0.007,0.046,0.039,1.0,0.022,0.0,0.013
IVIST,0.025,0.019,0.024,0.034,0.027,0.028,0.025,0.04,0.021,0.021,0.022,0.018,0.022,0.022,1.0,0.003,0.008
IVOS,0.003,0.005,0.005,0.005,0.0,0.004,0.004,0.002,0.004,0.004,0.014,0.003,0.0,0.0,0.003,1.0,0.0
EOLAS,0.009,0.011,0.008,0.009,0.006,0.003,0.014,0.006,0.013,0.007,0.005,0.009,0.015,0.013,0.008,0.0,1.0
