Team,vitrivr,VIRET,Vireo,SomHunter,HTW,SIRET,vitrivr-vr,VERGE,VBS2020 Winner,Exquisitor,VISIONE,diveXplore,VideoGraph,noshot,IVIST,IVOS,EOLAS
vitrivr,1.0,0.23,0.197,0.18,0.17,0.178,0.352,0.216,0.173,0.205,0.141,0.157,0.235,0.149,0.084,0.041,0.102
VIRET,0.23,1.0,0.214,0.246,0.177,0.263,0.312,0.215,0.246,0.198,0.125,0.128,0.209,0.144,0.057,0.041,0.081
Vireo,0.197,0.214,1.0,0.213,0.215,0.242,0.237,0.249,0.18,0.216,0.143,0.119,0.198,0.098,0.085,0.032,0.06
SomHunter,0.18,0.246,0.213,1.0,0.202,0.277,0.221,0.235,0.271,0.186,0.149,0.109,0.185,0.132,0.077,0.021,0.076
HTW,0.17,0.177,0.215,0.202,1.0,0.229,0.18,0.198,0.168,0.182,0.144,0.111,0.158,0.1,0.076,0.053,0.041
SIRET,0.178,0.263,0.242,0.277,0.229,1.0,0.236,0.214,0.27,0.195,0.136,0.109,0.174,0.161,0.075,0.032,0.069
vitrivr-vr,0.352,0.312,0.237,0.221,0.18,0.236,1.0,0.215,0.205,0.202,0.11,0.135,0.237,0.148,0.072,0.028,0.109
VERGE,0.216,0.215,0.249,0.235,0.198,0.214,0.215,1.0,0.214,0.212,0.172,0.124,0.213,0.153,0.096,0.054,0.072
VBS2020 Winner,0.173,0.246,0.18,0.271,0.168,0.27,0.205,0.214,1.0,0.152,0.129,0.119,0.146,0.165,0.067,0.033,0.069
Exquisitor,0.205,0.198,0.216,0.186,0.182,0.195,0.202,0.212,0.152,1.0,0.129,0.132,0.19,0.107,0.062,0.06,0.071
VISIONE,0.141,0.125,0.143,0.149,0.144,0.136,0.11,0.172,0.129,0.129,1.0,0.121,0.132,0.102,0.079,0.074,0.073
diveXplore,0.157,0.128,0.119,0.109,0.111,0.109,0.135,0.124,0.119,0.132,0.121,1.0,0.147,0.15,0.075,0.08,0.113
VideoGraph,0.235,0.209,0.198,0.185,0.158,0.174,0.237,0.213,0.146,0.19,0.132,0.147,1.0,0.162,0.071,0.039,0.127
noshot,0.149,0.144,0.098,0.132,0.1,0.161,0.148,0.153,0.165,0.107,0.102,0.15,0.162,1.0,0.08,0.049,0.146
IVIST,0.084,0.057,0.085,0.077,0.076,0.075,0.072,0.096,0.067,0.062,0.079,0.075,0.071,0.08,1.0,0.037,0.054
IVOS,0.041,0.041,0.032,0.021,0.053,0.032,0.028,0.054,0.033,0.06,0.074,0.08,0.039,0.049,0.037,1.0,0.018
EOLAS,0.102,0.081,0.06,0.076,0.041,0.069,0.109,0.072,0.069,0.071,0.073,0.113,0.127,0.146,0.054,0.018,1.0
