,r_s,r_v,t,t_cs
v21-1,2447,1,27,67
t21-1,46,46,205,403
v21-2,17,17,39,145
t21-2,2,2,62,72
v21-3,1,1,124,134
t21-7,-,12,111,-
v21-4,-,62,45,75
t21-3,31,26,125,287
t21-4,280,72,203,334
v21-5,-,50,19,102
t21-5,21,21,324,-
v21-6,34,34,256,102
v21-7,3,3,104,-
v21-8,-,8,134,144
v21-9,762,6,59,117
v21-10,-,191,261,-
v21-11,30,30,199,175
v21-12,-,48,28,40
v21-13,-,2,299,-
v21-14,-,23,40,47
v21-15,11,11,193,210
v21-16,9,9,56,78
v21-17,135,135,24,-
v21-18,-,20,87,130
v21-19,2978,7,70,187
v21-20,-,97,184,-
v21-21,4,1,54,107
