,r_s,r_v,t,t_cs
v21-1,-,4,80,84
t21-1,599,17,55,180
v21-2,1006,27,35,65
t21-2,1897,102,67,-
v21-3,126,21,56,-
t21-7,9704,995,197,-
v21-4,5795,3,31,45
t21-3,207,16,69,83
t21-4,194,194,183,218
v21-5,-,5,33,41
t21-5,2215,83,97,-
v21-6,-,168,38,-
v21-7,24,24,33,37
v21-8,44,44,28,41
v21-9,4172,239,32,77
v21-10,-,2547,105,-
v21-11,-,50,162,-
v21-12,-,1,32,55
v21-13,-,20,252,268
v21-14,8526,14,84,278
v21-15,-,12,229,-
v21-16,835,9,34,-
v21-17,16,16,68,96
v21-18,-,6,26,77
v21-19,1975,395,54,154
v21-20,-,1301,31,-
v21-21,5,5,31,59
