task,team,score
a21-1,vitrivr,"50,25157092"
a21-1,vitrivr-vr,"3,915881073"
a21-1,VideoGraph,"1,015228426"
a21-1,Vireo,"31,0888493"
a21-1,VERGE,"9,443985362"
a21-1,VISIONE,"9,914340102"
a21-1,EOLAS,"0,5076142132"
a21-1,Exquisitor,"3,613018812"
a21-1,IVIST,"0,3691739732"
a21-1,HTW,"1,52284264"
a21-1,IVOS,0
a21-1,diveXplore,"1,827411168"
a21-1,noshot,"1,305293691"
a21-1,VIRET,"5,719120135"
a21-1,SIRET,"17,90186125"
a21-1,SomHunter,"4,235953089"
a21-1,VBS2020 Winner,"4,079042785"
a21-10,vitrivr,"12,46422893"
a21-10,vitrivr-vr,"8,316008316"
a21-10,VideoGraph,"11,62762763"
a21-10,Vireo,"34,6263911"
a21-10,VERGE,"19,47368421"
a21-10,VISIONE,"1,422475107"
a21-10,EOLAS,0
a21-10,Exquisitor,"9,51878708"
a21-10,IVIST,"0,5405405405"
a21-10,HTW,"9,51878708"
a21-10,IVOS,"0,3603603604"
a21-10,diveXplore,"2,702702703"
a21-10,noshot,0
a21-10,VIRET,"24,29405405"
a21-10,SIRET,"7,363590005"
a21-10,SomHunter,"21,96614197"
a21-10,VBS2020 Winner,"17,9434607"
a21-11,vitrivr,"11,26574619"
a21-11,vitrivr-vr,"7,371414174"
a21-11,VideoGraph,"5,183025591"
a21-11,Vireo,"17,88359788"
a21-11,VERGE,"3,9716156"
a21-11,VISIONE,"2,93040293"
a21-11,EOLAS,"1,036605118"
a21-11,Exquisitor,"6,349206349"
a21-11,IVIST,"1,816550796"
a21-11,HTW,"6,7960189"
a21-11,IVOS,"1,785714286"
a21-11,diveXplore,"8,902049975"
a21-11,noshot,0
a21-11,VIRET,"9,486243477"
a21-11,SIRET,"12,566603"
a21-11,SomHunter,"12,61083744"
a21-11,VBS2020 Winner,"5,142857143"
a21-3,vitrivr,"37,49875237"
a21-3,vitrivr-vr,"12,52484596"
a21-3,VideoGraph,"2,546564243"
a21-3,Vireo,"9,325162715"
a21-3,VERGE,"0,4025044723"
a21-3,VISIONE,"4,921068324"
a21-3,EOLAS,"0,3888932099"
a21-3,Exquisitor,"6,981107378"
a21-3,IVIST,"0,9620353806"
a21-3,HTW,"0,5892875934"
a21-3,IVOS,"3,585948935"
a21-3,diveXplore,"11,25430494"
a21-3,noshot,"1,277791975"
a21-3,VIRET,"8,412537917"
a21-3,SIRET,"0,43513997"
a21-3,SomHunter,"1,564756342"
a21-3,VBS2020 Winner,"0,275742625"
a21-4,vitrivr,"32,63029627"
a21-4,vitrivr-vr,"12,27348243"
a21-4,VideoGraph,"5,520886208"
a21-4,Vireo,"32,31590942"
a21-4,VERGE,"3,042750647"
a21-4,VISIONE,"3,926808016"
a21-4,EOLAS,"0,3630554749"
a21-4,Exquisitor,"3,062925406"
a21-4,IVIST,"1,610756124"
a21-4,HTW,"7,032226698"
a21-4,IVOS,0
a21-4,diveXplore,"1,775620546"
a21-4,noshot,"0,4203800235"
a21-4,VIRET,"8,253163653"
a21-4,SIRET,"11,75393256"
a21-4,SomHunter,"16,94725174"
a21-4,VBS2020 Winner,"17,65211536"
a21-5,vitrivr,"16,53210486"
a21-5,vitrivr-vr,"14,89957685"
a21-5,VideoGraph,"5,957446809"
a21-5,Vireo,"14,47117614"
a21-5,VERGE,"8,665189841"
a21-5,VISIONE,"9,369807497"
a21-5,EOLAS,0
a21-5,Exquisitor,"7,386018237"
a21-5,IVIST,"3,971631206"
a21-5,HTW,"23,82978723"
a21-5,IVOS,"0,7481879822"
a21-5,diveXplore,"3,424518744"
a21-5,noshot,"1,080715974"
a21-5,VIRET,"14,6765089"
a21-5,SIRET,"16,02002503"
a21-5,SomHunter,"7,943262411"
a21-5,VBS2020 Winner,"8,05747444"
a21-6,vitrivr,"26,84902426"
a21-6,vitrivr-vr,"16,20602132"
a21-6,VideoGraph,"11,07161427"
a21-6,Vireo,"15,74040831"
a21-6,VERGE,"7,652587651"
a21-6,VISIONE,"2,935665209"
a21-6,EOLAS,"3,345024744"
a21-6,Exquisitor,"3,818508954"
a21-6,IVIST,"5,496564647"
a21-6,HTW,"4,497189257"
a21-6,IVOS,"0,4372267333"
a21-6,diveXplore,"11,17782399"
a21-6,noshot,"12,49808757"
a21-6,VIRET,"17,53240959"
a21-6,SIRET,"9,779820334"
a21-6,SomHunter,"11,11002282"
a21-6,VBS2020 Winner,"9,536852923"
a21-8,vitrivr,"31,82001362"
a21-8,vitrivr-vr,"10,95890411"
a21-8,VideoGraph,"1,083195427"
a21-8,Vireo,"16,01581809"
a21-8,VERGE,"9,638433378"
a21-8,VISIONE,"6,567609743"
a21-8,EOLAS,0
a21-8,Exquisitor,"6,698961938"
a21-8,IVIST,"8,650519031"
a21-8,HTW,"12,99500192"
a21-8,IVOS,0
a21-8,diveXplore,"2,784643269"
a21-8,noshot,"0,553633218"
a21-8,VIRET,"17,98754325"
a21-8,SIRET,"8,750976672"
a21-8,SomHunter,"13,75897608"
a21-8,VBS2020 Winner,"12,85011838"
a21-9,vitrivr,"17,05263158"
a21-9,vitrivr-vr,"6,877192982"
a21-9,VideoGraph,"4,784688995"
a21-9,Vireo,"17,36299512"
a21-9,VERGE,"17,79077323"
a21-9,VISIONE,"6,315789474"
a21-9,EOLAS,0
a21-9,Exquisitor,"6,613272311"
a21-9,IVIST,"7,450980392"
a21-9,HTW,"18,0344667"
a21-9,IVOS,0
a21-9,diveXplore,"2,940108893"
a21-9,noshot,"1,172248804"
a21-9,VIRET,"12,06066012"
a21-9,SIRET,"17,26848767"
a21-9,SomHunter,"14,80263158"
a21-9,VBS2020 Winner,"17,17935616"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
