token,user,verdict,validator,submission
8c3afc9e-3bb9-4a5b-b944-b2ebe1e81f4e,node01axdevksv2853rij1dgxnzjr841526,CORRECT,bjv147,e4a03058-d615-434d-bf16-22f258388284
bfe57dc9-5031-4361-bf6b-5b4fee8cd11b,node0vvzr5i2unv5t1ekxcfys58jy46505,CORRECT,bjv147,5b297e59-9a49-4a4c-8d6b-54f04607fd14
4dda3d1b-4c72-4aef-82b7-f9120b791b27,node0116cbsgzmkpmm1v8drtgavy2eu42202,CORRECT,bjv147,cd748a87-4b1a-4100-b1ee-c5a8af0c9278
9f824a91-5554-42e5-8ada-73012fb7b964,node0my107zh5k2621a45saqkjbbq440845,CORRECT,bjv147,0eabf460-94aa-4fc6-a767-b32268b0cf26
b8bf056a-8c9d-4eab-8432-b53b10844230,node03wc3plhg6vyd1bbo2x0wahcl841721,CORRECT,bjv147,57fdea1a-5bc5-4dfb-8a1a-39299ac60df2
e302a804-cd40-4cea-b2b6-6b5020a18d99,node0116cbsgzmkpmm1v8drtgavy2eu42202,WRONG,bjv147,93a4e9cc-6b65-4512-99a9-0d3747e4e795
73eaab5e-4dfb-44e9-ac32-44cc75b43601,node07roeyegtwukc17bcq0rkh89g32838,CORRECT,bjv147,37d7505c-b827-4e26-b939-04fd51e68c85
5d08511d-feed-4f5c-9d5b-311fde49dbb0,node0vvzr5i2unv5t1ekxcfys58jy46505,CORRECT,bjv147,eebe8811-899f-4d04-acc3-c9f50815e51b
280022bf-8528-455d-a107-f772eec37ac2,node01axdevksv2853rij1dgxnzjr841526,CORRECT,bjv147,c41981a9-a42d-4b6e-b723-4b6da1db4d32
697de957-30bb-427c-ae37-fe352301a08a,node07roeyegtwukc17bcq0rkh89g32838,CORRECT,bjv147,d2a28a14-856f-439c-baa8-b2ee9cec459c
91df9e4c-dbfe-48c8-998a-c63dc70f7757,node0vvzr5i2unv5t1ekxcfys58jy46505,CORRECT,bjv147,43efd60c-6a19-4cab-8ba4-301ce3428f5d
f55e2896-d342-4241-8a5b-41a40f7c35fa,node03wc3plhg6vyd1bbo2x0wahcl841721,WRONG,bjv147,ee667259-f878-4c74-ab31-48bd0655315d
ad8880e6-4815-4a24-a87c-5ba68658b598,node07roeyegtwukc17bcq0rkh89g32838,CORRECT,bjv147,2788bf1e-7b3e-4468-8cc4-02a32047efdc
3d9b8ae0-782a-4238-a5c9-937ea70f5f8e,node0my107zh5k2621a45saqkjbbq440845,CORRECT,bjv147,7cbd7cfa-380d-45bd-ac46-bc253790c36c
